(eemale, ära) ajama	гнать
lõvikutsikas	львёнок
luba	разрешение (документ)
luba	разрешение (согласие)
lubadus	обещание
lubama	обещать
lubama	разрешать
lubama	разрешать (позволять)
lubama	разрешить
lubivärv	побелка(материал)
lugeja	читатель
lugema	считать (~ деньги)
lugema	считать (подсчитывать)
lugema	читать
lugemine	чтение
lugu	рассказ
Lugupeetud ...	Уважаемый ... (в письме)
lühiajaline	кратковременный
lühike	короткий
lühikest aega	недолго
lühikest kasvu	невысокого роста
lühinägelik	близорукий
lühiühendus	короткое замыкание
luht	луг
lühter	люстра
luik	лебедь
lukk	замок
lukk	замок (дверной ~)
lukksepp	слесарь
lukuauk	замочная скважина
lukust lahti keerama	отпереть
lüliti	выключатель
lülitus	подключение
lumehelbeke	снежинка
lumekoristusauto	снегоуборочная машина
lumelauasõit	сноуборд
lumeleopard	снежный барс
lumememm	снеговик
lumepall	снежок
lumesadu	снегопад
lumetorm	метель
lumi	снег
lumikelluke	подснежник
lunaraha	выкуп (плата)
lunaraha nõudma	требовать выкуп
lunastama	искупить
lunastamine	искупление
lund sajab	идёт снег
lusikas	ложка
lust	веселье
luteri kirik	Лютеранская церковь
luterlane	лютеранин
luu	кость
luud	веник
luud murdma	получить перелом
luuk	люк
luuk	люк (на дороге)
luukere	скелет
luule	поэзия
luuletaja	поэт
luuletus	стихотворение
luuletused	стихи
luumurd	перелом
luup	лупа
luup	шлюпка
luuraja	разведчик
luure	разведка
lüüs	шлюз
Luxembourg	Люксембург
Lyon	Лион
Maa	Земля
maa	страна
maa-alune käik	подземный ход
maadeavastamine	открытие (новых земель)
maadleja	борец
maadlus	борьба
määgima	блеять
maailm	мир (вся планета)
maailmaruum	космическое пространство
maak	руда
maakera	земной шар
maal	картина
maaler	маляр
maaletooja	дистрибьютор
maalikunst	живопись
maalinäitus	выставка картин
maamaja	загородный дом
maanduma	садиться (о самолёте)
maandumine	посадка
maandumisrada	посадочная полоса
maantee	шоссе
maapähkel	арахис
määrama	назначать (встречу)
määrama	назначать (на должность)
määrdunud	грязный
maarohtudest	травяной (чай и т.п.)
maarohud	лекарственная трава
määrsõna	наречие
maasikas	земляника
maastik	пейзаж
maastikumaal	пейзаж (картина)
maastur	внедорожник, джип
maavarad	полезные ископаемые
maavärin	землетрясение
Madagaskar	Мадагаскар
madal	мелкий
madal	мелкий (неглубокий)
madal	низкий
madalik	мель
madalik	отмель
madalikule jääma	сесть на мель
Madalmaad	Нидерланды
mädarõigas	хрен
madrats	матрас
Madrid	Мадрид
madrus	матрос
mäeahelik	горная цепь
mäeahelik	горный хребет
mäesuusatamiskuurort	горнолыжный курорт
mäetipp	пик
maffia	мафия
magada tahtma	хотеть спать
magama	спать
magama heitma	ложиться спать
magama jaama	заснуть
magama minema	идти спать
magamistuba	спальня
mage	пресная (о воде)
mage-	пресная (о воде)
mäger	барсук
mageveeline	пресноводный
mägi	гора
mägikits	серна
magma	магма
magnaat	магнат
magnet	магнит
magnetofon	магнитофон
magnoolia	магнолия
magu	желудок
magus	сладкий
magus	сладкий (о чае, кофе)
maha kustutama	стереть (~ надпись)
maha laskma	застрелить
maha laskma	расстрелять (казнить)
maha minema	сойти (с автобуса и т.п.)
maha raiuma	вырубать лес
maha tõmbama	зачеркнуть
maha valama	пролить
maha voolama	пролиться
maha võtma	снимать (убирать)
mahalaskmine	расстрел (казнь)
mahlapress	соковыжималка
maht	объём
mai	май
maikelluke	ландыш
maipõrnikas	майский жук
mais	кукуруза
maisihelbed	кукурузные хлопья
maismaa	земля, суша
maitse	вкус
maitseaine	приправа
maitseroheline	зелень
maitsev	вкусный
maja	дом
majakas	маяк
majandus	экономика
majanduskool	бизнес-школа
majanduslangus	экономический спад
majanduslik	экономический
majandusteadlane	экономист
majonees	майонез
major	майор
makaak	макака
makaronid	макароны
mäkketõus	восхождение
maks	налог
maks	печень
maksma	платить
maksma	стоить
maksmine	оплата
malaaria	малярия
malai	малайский
malailane	малаец
malailanna	малайка
Malaisia	Малайзия
male	шахматы
male	шахматы (игра)
malelaud	шахматная доска
malend	фигура (шахм.)
malendid	шахматы (фигуры)
mälestused	память (воспоминания)
mälestussammas	памятник
maletaja	шахматист
maleturniir	шахматный турнир
Malta	Мальта
malta	мальтийский
maltalane	мальтиец
maltalanna	мальтийка
mälu	память
mamma	мама
mammut	мамонт
mänd	сосна
mandariin	мандарин
mandlipähkel	миндаль
mäng	игра
mangaan	марганец
mängija	игрок
mängima	играть
mängima	играть (роль)
mango	манго
mangroovipuu	мангровое дерево
mänguautomaat	игральный автомат
mängufilm	художественный фильм
mängukonsool	игровая приставка
mängureeglid	правила игры
mängust	мангуст
manner	материк
manöövrid	манёвры
mantel	пальто
mapp	папка
mära	кобыла
märg	мокрый (промокший)
margareeta	маргаритка
margariin	маргарин
märge	пометка
märgistus	разметка
mari	ягода
marineeritud	маринованный
